name,province,lat,lng
唐山市第二十八中学,河北省,39.733699,118.417725
宏文中学(唐林北路),河北省,39.760299,118.463486
河北唐山三中,河北省,39.650036,118.466264
唐山市古冶区林西第三小学,河北省,39.717379,118.452483
唐山市古冶区实验小学,河北省,39.717522,118.461328
唐山市第十六中学,河北省,39.724563,118.441443
古冶区第二实验小学,河北省,39.75576,118.479204
唐家庄第一小学,河北省,39.748627,118.462026
唐山市古冶区赵各庄第一小学,河北省,39.779356,118.428028
唐山市第二十三中学,河北省,39.68565,118.275367
开平小学,河北省,39.672807,118.269511
唐山实验学校,河北省,39.634162,118.24661
郊区开平东关小学,河北省,39.677186,118.2835
康各庄小学,河北省,39.634402,118.283262
唐山税东中学,河北省,39.641543,118.245442
唐山五十九中,河北省,39.722572,118.200428
屈庄小学,河北省,39.697825,118.239322
税钢小学,河北省,39.640273,118.240748
唐山市第二十中学,河北省,39.773928,118.275191
唐山劳动技师学院,河北省,39.586131,118.097307
丰南区第一中学,河北省,39.560053,118.107688
毕家瞿小学,河北省,39.274164,118.086518
汉沽管理区第一中学,河北省,39.373994,117.900581
唐坊高级中学,河北省,39.4817,118.026209
胥各庄小学,河北省,39.579966,118.125467
丰南西葛小学,河北省,39.476246,118.192474
丰南区银丰学校,河北省,39.545586,118.102858
丰南实验小学,河北省,39.576011,118.102341
丰南区王兰庄镇王兰庄中学,河北省,39.442592,118.045992
华北理工大学轻工学院(丰润校区),河北省,39.812732,118.177289
车轴山中学,河北省,39.740389,118.11925
唐山市丰润区第二中学,河北省,39.852064,118.153448
唐山职业技术学院(韩城校区),河北省,39.643023,118.071091
唐山市第六十二中学,河北省,39.848689,118.167889
唐山市金桥中学,河北省,39.846448,118.152426
